ID,PosRate,Rt
Andaman and Nicobar Islands,2.961672474,1.232682365
Andhra Pradesh,3.142911368,1.2226289
Arunachal Pradesh,0.914554481,1.246563845
Assam,3.078341428,1.452779155
Bihar,3.859824503,1.202147266
Chandigarh,3.062426384,1.408460423
Chhattisgarh,1.824525696,1.039582533
Dadra and Nagar Haveli and Daman and Diu,3.137789905,1.441037251
Delhi,35,1.8
Goa,3.663756206,1.195084748
Gujarat,10.81533738,1.104394421
Haryana,7.902835788,1.058030424
Himachal Pradesh,1.242626819,0.874206878
Jammu and Kashmir,2.956417752,1.120884967
Jharkhand,1.952100693,1.169613103
Karnataka,6.25308998,1.430409111
Kerala,2.375355079,1.194305985
Ladakh,5.061082024,0.509971881
Madhya Pradesh,2.194276915,1.214146475
Maharashtra,21.91274267,1.143812242
Manipur,2.263856362,0.829861075
Meghalaya,0.427553444,1.914118839
Mizoram,0.892857143,1.957259231
Nagaland,2.241314905,1.140830484
Odisha,4.3640647,1.349707189
Puducherry,6.560871625,1.15791077
Punjab,2.256229966,1.075298308
Rajasthan,2.399942737,1.19140662
Sikkim,0.984251969,1.70091835
Tamil Nadu,11.86757775,1.132915125
Telangana,27.69006558,1.307325294
Tripura,1.760428626,1.356608002
Uttar Pradesh,3.185851743,1.178139477
Uttarakhand,2.558989698,0.89287569
West Bengal,5.947769218,1.220509825
